ACL v0.4 @ 0.01cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
1.088339,0.905882,0.698413
1.088339,0.905882,0.698413
1.624258,1.69697,1.20078
1.624258,1.69697,1.20078
1.624258,1.711111,1.20078
2.676806,2.954437,1.983897
3.157355,3.40708,2.248175
3.157355,3.40708,2.248175
3.85,3.906977,2.507463
5.112033,4.874636,3.266172
5.112033,5.292096,3.266172
5.893455,5.292096,3.640662
5.97176,5.614583,3.640662
5.97176,6.251691,3.956326
6.166166,6.251691,3.956326
6.166166,6.821705,3.956326
6.409989,6.821705,4.026144
6.409989,6.821705,4.026144
6.502463,7.036345,4.078296
6.602105,7.036345,4.078296
6.602105,7.076923,4.078296
6.776678,7.076923,4.078296
6.830645,7.076923,4.127303
6.830645,7.076923,4.177361
7.032187,7.146172,4.177361
7.032187,7.225806,4.177361
7.048391,7.318359,4.177361
7.096247,7.398275,4.183908
7.168,7.403846,4.183908
7.193074,7.414551,4.219178
7.20152,7.415663,4.219178
7.242494,7.418376,4.258765
7.318812,7.430865,4.258765
7.318812,7.544196,4.258765
7.346452,7.545057,4.258765
7.354178,7.545057,4.258765
7.36255,7.545057,4.258765
7.405754,7.563082,4.258765
7.409669,7.563082,4.259418
7.424041,7.577424,4.259418
7.432221,7.626667,4.259418
7.432221,7.626667,4.259418
7.435765,7.626667,4.265084
7.435765,7.647436,4.267559
7.459711,7.656776,4.267559
7.473137,7.656776,4.295676
7.517925,7.670498,4.295676
7.675241,7.670498,4.295676
7.68,7.670498,4.301676
7.68,7.675578,4.307693
7.703704,7.676362,4.311625
7.776645,7.692877,4.330159
7.779793,7.693795,4.330159
7.790164,7.693795,4.330159
7.799614,7.693795,4.330159
7.799614,7.700414,4.330159
7.800995,7.733127,4.336058
7.855473,7.733127,4.336058
7.886603,7.748428,4.36036
7.894273,7.748428,4.36036
7.907574,7.76063,4.36036
7.907574,7.781368,4.36036
7.909947,7.781368,4.36036
7.916001,7.788331,4.36036
7.92465,7.790424,4.362992
7.931118,7.803642,4.362992
7.932811,7.813148,4.362992
7.932811,7.814523,4.367856
7.948387,7.814523,4.367856
7.951733,7.832879,4.367856
7.983096,7.832879,4.368794
8.01636,7.832879,4.390776
8.017851,7.832879,4.390776
8.02046,7.832879,4.390776
8.043011,7.832879,4.390776
8.044199,7.836888,4.390776
8.046277,7.84,4.396306
8.046277,7.848858,4.396306
8.063138,7.848858,4.396306
8.083365,7.853894,4.396306
8.09608,7.882277,4.419844
8.099594,7.882647,4.419844
8.116257,7.883959,4.419844
8.126183,7.889477,4.419844
8.144419,7.906651,4.419844
8.163574,7.916829,4.419844
8.166451,7.920647,4.419844
8.171526,7.920647,4.425287
8.172908,7.920647,4.425287
8.172908,7.920647,4.425287
8.192192,7.931331,4.425287
8.192192,7.941946,4.425287
8.218813,7.979275,4.425287
8.221163,7.981441,4.430744
8.221163,7.98289,4.436214
8.224622,7.985857,4.442885
8.226629,7.989958,4.442885
8.228837,7.989958,4.444822
8.233293,8.002403,4.444822
8.237952,8.017354,4.447653
8.237952,8.017354,4.447653
8.258193,8.017354,4.447653
