ACL v0.4 @ 0.01.cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
1.088339,0.905882,0.698413
1.088339,0.905882,0.698413
1.624258,1.69697,1.20078
1.624258,1.69697,1.20078
1.624258,1.711111,1.20078
2.676806,2.954437,1.983897
3.157355,3.40708,2.248175
3.157355,3.40708,2.248175
3.85,3.906977,2.507463
5.112033,5.292096,3.266172
5.112033,5.292096,3.266172
6.409989,6.251691,3.640662
6.409989,6.251691,3.640662
6.166166,6.821705,3.956326
6.166166,6.821705,3.956326
6.776678,6.821705,3.956326
8.98942,8.31309,4.959743
8.98942,8.31309,4.959743
6.830645,7.036345,4.026144
6.830645,7.036345,4.026144
5.97176,7.076923,4.078296
5.97176,7.076923,4.078296
7.799614,7.076923,4.078296
7.799614,7.076923,4.078296
9.047255,7.544196,4.311625
7.517925,7.225806,4.127303
7.409669,7.626667,4.177361
7.459711,7.626667,4.177361
7.703704,7.626667,4.177361
7.776645,7.670498,4.177361
8.044199,7.670498,4.183908
8.144419,7.670498,4.183908
8.569288,8.024048,4.539682
8.258193,7.418376,4.219178
8.299401,7.692877,4.219178
6.602105,7.545057,4.541337
6.602105,7.545057,4.541337
7.242494,7.545057,4.258765
7.405754,7.790424,4.258765
7.473137,7.832879,4.258765
7.886603,7.832879,4.258765
7.92465,7.832879,4.258765
8.02046,7.832879,4.258765
8.221163,7.832879,4.258765
8.221163,7.832879,4.265084
8.432168,8.143532,4.624129
8.770913,8.143532,4.624129
7.193074,7.563082,4.259418
8.09608,7.563082,4.259418
8.237952,7.814523,4.259418
8.237952,7.814523,4.259418
8.322385,7.848858,4.267559
8.561707,7.848858,4.267559
6.502463,7.146172,4.295676
7.346452,7.403846,4.295676
7.36255,7.883959,4.295676
7.855473,7.931331,4.301676
9.094488,7.979275,4.307693
7.096247,7.656776,4.330159
7.675241,7.656776,4.330159
8.172908,7.693795,4.330159
8.172908,7.693795,4.330159
8.192192,7.693795,4.330159
8.192192,7.989958,4.336058
8.578616,7.989958,4.336058
9.925156,8.353456,4.724394
7.168,7.76063,4.362992
7.894273,7.803642,4.362992
8.562988,8.111934,4.362992
8.687528,8.111934,4.368794
8.226629,8.079492,4.36036
8.233293,8.079492,4.36036
8.314111,8.079492,4.36036
8.406948,8.118211,4.36036
8.491228,8.118211,4.36036
8.526846,8.118211,4.36036
8.784788,8.118211,4.367856
9.337621,8.118211,4.367856
9.525773,8.118211,4.367856
7.432221,7.577424,4.390776
7.432221,8.155764,4.390776
7.948387,8.155764,4.390776
8.043011,8.18125,4.390776
8.063138,8.18125,4.390776
8.083365,8.18125,4.396306
8.116257,8.232704,4.396306
8.224622,8.232704,4.396306
8.482786,8.232704,4.396306
8.833404,8.232704,4.444822
8.833404,8.232704,4.444822
7.435765,7.84,4.419844
7.435765,7.920647,4.419844
7.907574,7.920647,4.419844
7.907574,7.920647,4.419844
8.01636,7.920647,4.419844
8.017851,8.154311,4.419844
8.046277,8.191489,4.419844
8.046277,8.191489,4.425287
8.163574,8.191489,4.425287
8.346884,8.191489,4.425287
8.346884,8.191489,4.425287
8.382582,8.191489,4.425287
