ACL v0.4,UE 4.15 @ 0.01cm,UE 4.15 @ 0.1cm,UE 4.15 @ 1.0cm
0.000000,0.000000,0.000000,0.000077
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000000,0.000000,0.000199,0.000199
0.000001,0.000000,0.000199,0.000692
0.000008,0.000000,0.001107,0.001218
0.000013,0.000000,0.001429,0.001501
0.000017,0.000000,0.001656,0.001712
0.000022,0.000000,0.001842,0.001891
0.000026,0.000000,0.001999,0.002038
0.000031,0.000000,0.002129,0.002164
0.000034,0.000000,0.002250,0.002282
0.000038,0.000000,0.002361,0.002390
0.000042,0.000001,0.002460,0.002487
0.000046,0.000001,0.002554,0.002579
0.000049,0.000001,0.002640,0.002664
0.000053,0.000002,0.002722,0.002744
0.000056,0.000002,0.002799,0.002820
0.000060,0.000002,0.002872,0.002893
0.000063,0.000002,0.002941,0.002960
0.000066,0.000003,0.003006,0.003024
0.000069,0.000003,0.003070,0.003088
0.000072,0.000004,0.003132,0.003149
0.000076,0.000004,0.003192,0.003208
0.000079,0.000004,0.003249,0.003264
0.000082,0.000004,0.003304,0.003319
0.000085,0.000004,0.003358,0.003373
0.000088,0.000004,0.003410,0.003424
0.000091,0.000004,0.003461,0.003474
0.000094,0.000004,0.003509,0.003523
0.000097,0.000004,0.003557,0.003570
0.000099,0.000005,0.003604,0.003617
0.000102,0.000005,0.003650,0.003662
0.000105,0.000005,0.003694,0.003707
0.000108,0.000006,0.003739,0.003751
0.000111,0.000006,0.003782,0.003794
0.000114,0.000006,0.003825,0.003836
0.000116,0.000007,0.003867,0.003877
0.000119,0.000007,0.003907,0.003917
0.000122,0.000008,0.003946,0.003957
0.000125,0.000008,0.003985,0.003995
0.000127,0.000008,0.004022,0.004032
0.000130,0.000008,0.004060,0.004069
0.000133,0.000008,0.004096,0.004106
0.000136,0.000008,0.004133,0.004142
0.000139,0.000008,0.004168,0.004177
0.000141,0.000008,0.004203,0.004212
0.000144,0.000008,0.004237,0.004246
0.000147,0.000008,0.004271,0.004280
0.000150,0.000008,0.004304,0.004312
0.000153,0.000008,0.004336,0.004344
0.000155,0.000008,0.004367,0.004375
0.000158,0.000008,0.004397,0.004405
0.000161,0.000008,0.004427,0.004435
0.000163,0.000008,0.004456,0.004464
0.000166,0.000008,0.004485,0.004492
0.000169,0.000008,0.004513,0.004520
0.000172,0.000009,0.004540,0.004548
0.000175,0.000009,0.004567,0.004574
0.000177,0.000009,0.004594,0.004601
0.000180,0.000009,0.004620,0.004626
0.000183,0.000009,0.004645,0.004651
0.000186,0.000009,0.004670,0.004676
0.000189,0.000009,0.004694,0.004700
0.000192,0.000009,0.004718,0.004725
0.000194,0.000009,0.004742,0.004748
0.000197,0.000009,0.004766,0.004771
0.000200,0.000009,0.004789,0.004794
0.000203,0.000009,0.004811,0.004817
0.000206,0.000009,0.004834,0.004839
0.000209,0.000009,0.004856,0.004861
0.000212,0.000010,0.004878,0.004883
0.000215,0.000010,0.004899,0.004904
0.000218,0.000010,0.004920,0.004925
