ACL v0.4,UE 4.15 @ 0.01cm,UE 4.15 @ 0.1cm,UE 4.15 @ 1.0cm
0.000025,0.000025,0.017054,0.017054
0.000025,0.000025,0.017054,0.017054
0.000071,0.000068,0.011204,0.011204
0.000180,0.000184,0.017774,0.017774
0.000185,0.000323,0.019242,0.019242
0.009233,0.000090,0.018180,0.018180
0.010207,0.008364,0.020042,0.020042
0.010207,0.008364,0.020042,0.020042
0.008775,0.013255,0.017308,0.017308
0.009633,0.013197,0.015412,0.015412
0.009633,0.013197,0.015412,0.015412
0.008773,0.000183,0.020335,0.020335
0.008773,0.000183,0.020335,0.020335
0.009040,0.000307,0.015491,0.015491
0.009040,0.000399,0.019495,0.019495
0.009493,0.000399,0.019495,0.019495
0.009951,0.003655,0.023547,0.023547
0.009951,0.003655,0.023547,0.023547
0.009732,0.000724,0.021629,0.021629
0.009732,0.000724,0.021629,0.021629
0.008572,0.000558,0.017458,0.017458
0.008572,0.000558,0.017458,0.017458
0.009107,0.000759,0.019272,0.019272
0.009928,0.000759,0.019272,0.019272
0.009928,0.012355,0.023260,0.023260
0.009371,0.000200,0.019501,0.019501
0.008913,0.000151,0.015895,0.015895
0.009011,0.000152,0.026365,0.026365
0.009871,0.000174,0.027663,0.027663
0.009886,0.000174,0.027973,0.027973
0.010005,0.000393,0.028174,0.028174
0.010082,0.000668,0.028589,0.028589
0.010751,0.009648,0.029781,0.029781
0.008999,0.000186,0.025774,0.025774
0.010175,0.000242,0.028919,0.028919
0.007906,0.001032,0.020443,0.020443
0.008317,0.001032,0.020443,0.020443
0.008510,0.000145,0.020804,0.020804
0.008995,0.000162,0.021852,0.021852
0.009485,0.000167,0.022390,0.022390
0.009635,0.000223,0.022390,0.022390
0.009635,0.000281,0.024712,0.024712
0.009710,0.000288,0.027220,0.027220
0.009824,0.000303,0.027836,0.027836
0.009938,0.012198,0.028408,0.028408
0.009961,0.012577,0.029018,0.029018
0.009961,0.012577,0.030679,0.030679
0.009318,0.000154,0.020845,0.020845
0.009318,0.000160,0.020845,0.020845
0.009746,0.000451,0.023923,0.023923
0.009945,0.000451,0.028060,0.028060
0.010821,0.000572,0.029810,0.029810
0.011013,0.000981,0.032773,0.032773
0.009455,0.000255,0.018719,0.018719
0.009852,0.000269,0.021826,0.021826
0.009909,0.000857,0.024958,0.024958
0.009950,0.002743,0.027109,0.027109
0.009964,0.012191,0.029940,0.029940
0.008498,0.000163,0.015934,0.015934
0.009459,0.000171,0.017123,0.017123
0.009521,0.000264,0.017123,0.017123
0.009548,0.000264,0.021688,0.021688
0.009548,0.000602,0.026556,0.026556
0.009977,0.006914,0.026556,0.026556
0.009977,0.006914,0.030183,0.030183
0.009983,0.012257,0.032394,0.032394
0.009929,0.000204,0.021295,0.021295
0.010051,0.000259,0.021437,0.021437
0.010137,0.000319,0.021915,0.021915
0.011556,0.001134,0.026252,0.026252
0.009690,0.000155,0.021602,0.021602
0.009845,0.000169,0.022570,0.022570
0.009940,0.000175,0.025243,0.025243
0.010178,0.000205,0.026226,0.026226
0.010311,0.000215,0.026475,0.026475
0.010813,0.000242,0.027464,0.027464
0.010816,0.000306,0.028111,0.028111
0.010854,0.000307,0.030999,0.030999
0.012644,0.006548,0.046680,0.046680
0.009765,0.000153,0.016901,0.016901
0.009766,0.000153,0.021417,0.021417
0.009766,0.000172,0.023118,0.023118
0.009860,0.000199,0.023118,0.023118
0.009885,0.000206,0.023348,0.023348
0.009885,0.001149,0.025345,0.025345
0.009964,0.007430,0.027555,0.027555
0.010091,0.009265,0.027555,0.027555
0.010281,0.009283,0.027812,0.027812
0.012402,0.012842,0.028221,0.028221
0.012557,0.012842,0.035701,0.035701
0.008936,0.000157,0.016956,0.016956
0.009052,0.000198,0.016956,0.016956
0.009052,0.000198,0.019116,0.019116
0.009478,0.000227,0.019133,0.019133
0.009950,0.000346,0.019133,0.019133
0.009969,0.000346,0.020270,0.020270
0.009969,0.000483,0.020390,0.020390
0.010016,0.000939,0.020520,0.020520
0.010016,0.000939,0.022901,0.022901
0.010118,0.005864,0.024853,0.024853
0.010366,0.005864,0.024853,0.024853
0.010650,0.006283,0.029127,0.029127
0.010663,0.008991,0.030855,0.030855
0.010675,0.009562,0.033480,0.033480
0.010694,0.011468,0.034214,0.034214
0.010694,0.013846,0.034214,0.034214
0.012808,0.014071,0.061044,0.061044
0.009790,0.000152,0.018528,0.018528
0.009909,0.000152,0.018528,0.018528
0.009956,0.000232,0.019875,0.019875
0.009956,0.000450,0.023044,0.023044
0.010088,0.001357,0.023183,0.023183
0.010088,0.001357,0.024727,0.024727
0.010378,0.009581,0.027260,0.027260
0.010446,0.013519,0.027260,0.027260
0.010446,0.013519,0.034959,0.034959
0.012597,0.013819,0.038943,0.038943
0.012757,0.013878,0.038943,0.038943
0.009427,0.000131,0.021222,0.021222
0.009833,0.000254,0.022859,0.022859
0.009880,0.000349,0.024043,0.024043
0.010000,0.000773,0.024408,0.024408
0.010019,0.006534,0.026508,0.026508
0.010147,0.011153,0.028866,0.028866
0.010277,0.012899,0.035012,0.035012
0.009989,0.000175,0.021939,0.021939
0.010335,0.011962,0.026612,0.026612
0.009962,0.000350,0.022432,0.022432
0.009970,0.000971,0.026521,0.026521
0.012297,0.013680,0.043188,0.043188
0.009715,0.000197,0.017635,0.017635
0.009715,0.000279,0.018584,0.018584
0.009797,0.000292,0.018584,0.018584
0.009843,0.001185,0.020042,0.020042
0.009843,0.001185,0.020042,0.020042
0.009962,0.002676,0.021212,0.021212
0.009962,0.002676,0.021212,0.021212
0.010140,0.009682,0.022854,0.022854
0.010234,0.009682,0.035212,0.035212
0.011303,0.013538,0.047515,0.047515
0.009948,0.000243,0.031017,0.031017
