TestCase1,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,385.1332,360.5558,413.5008,359.609,416.7546,377.921,390.9782,361.1498,351.817,343.5856,285.0988,280.507
v0,388.3358,343.8632,344.366,295.4616,363.1146,311.003,327.18,297.7434,375.9012,377.5118,267.7744,263.0292
v1,487.9602,455.4668,471.8504,544.3144,569.8144,359.381,439.6678,359.3824,634.5936,403.4012,570.0274,359.5456
v2,642.8954,465.932,473.9942,409.865,455.9456,426.6578,464.3682,427.0144,575.1624,443.5838,573.8906,366.9962
v3,0.0,0.0,0.0,0.0,0.0,375.7352,0.0,379.707,0.0,0.0,0.0,0.0
v4,0.0,0.0,0.0,0.0,0.0,315.3048,0.0,310.9212,0.0,0.0,0.0,0.0


TestCase2,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,422.4818,408.9962,422.9238,421.2658,406.33,424.4162,423.8076,420.367,374.7732,380.0338,372.37,377.0954
v0,416.1418,395.5656,388.1946,374.8592,371.142,371.9482,371.598,372.5574,387.4226,395.9894,376.1262,372.5302
v1,509.941,486.9302,504.4954,751.8358,749.8258,389.5778,490.0394,389.465,750.0418,410.842,749.7474,389.5512
v2,630.3128,511.289,530.7422,493.439,514.5112,490.2984,502.3156,499.0052,749.7884,467.4612,750.9732,432.7536
v3,0.0,0.0,0.0,0.0,0.0,492.5824,0.0,431.5768,0.0,0.0,0.0,0.0
v4,0.0,0.0,0.0,0.0,0.0,449.201,0.0,373.2976,0.0,0.0,0.0,0.0


TestCase3,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,410.2506,392.3328,409.9984,380.8804,409.5572,371.2646,398.8806,379.8144,355.8026,345.3404,323.0924,313.6696
v0,408.612,359.9562,359.2694,326.2924,361.1394,325.3352,342.8096,308.346,360.374,357.5334,286.1228,277.1216
v1,499.153,460.3012,493.2852,359.3562,596.6292,369.2864,460.446,369.28,632.3266,412.9024,596.6336,369.3708
v2,642.4952,485.101,496.1974,428.9676,491.6232,443.71,481.056,419.9748,583.814,435.96,619.3602,376.0648
v3,0.0,0.0,0.0,0.0,0.0,393.527,0.0,400.7362,0.0,0.0,0.0,0.0
v4,0.0,0.0,0.0,0.0,0.0,332.5842,0.0,325.1262,0.0,0.0,0.0,0.0


