TestCase1,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,772.764,747.2194,779.7864,715.677,748.7136,686.7318,757.9288,685.1324,589.837,597.8928,545.7974,528.231
v0,737.6842,684.9344,720.313,587.4,718.6154,620.4594,656.1304,588.567,576.7528,541.184,487.2552,519.9454
v1,970.3268,837.6896,932.0548,747.9008,889.1414,711.7078,874.4356,712.7592,920.4624,791.3778,867.8326,711.4898
v2,985.9906,841.7162,937.8448,786.3992,902.901,838.1542,902.9872,753.0442,867.8912,698.124,870.3414,692.18
v3,0.0,0.0,0.0,0.0,0.0,735.6644,0.0,739.2074,0.0,0.0,0.0,0.0
v4,0.0,0.0,0.0,0.0,0.0,628.999,0.0,613.596,0.0,0.0,0.0,0.0


TestCase2,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,805.8506,796.4282,795.0762,732.725,806.1682,754.7784,791.3344,701.0784,588.5824,609.5432,495.728,521.337
v0,766.0122,669.7394,700.6112,668.0332,700.5322,639.9438,654.5456,637.3822,575.5552,605.5672,478.3436,499.7088
v1,983.4298,920.4086,1001.852,923.0984,914.7698,772.5464,968.7898,739.4364,988.5,837.9648,920.5212,772.3318
v2,978.222,938.9848,1035.16,873.3338,969.027,871.6566,970.471,778.1266,927.1366,885.0496,952.0224,706.151
v3,0.0,0.0,0.0,0.0,0.0,836.0774,0.0,845.6142,0.0,0.0,0.0,0.0
v4,0.0,0.0,0.0,0.0,0.0,713.8032,0.0,706.146,0.0,0.0,0.0,0.0


TestCase3,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,815.986,780.6554,795.591,756.9734,729.231,719.657,767.0712,714.768,644.3242,590.791,569.3932,314.1836
v0,410.611,683.0426,716.318,612.8536,677.8266,647.9012,682.9112,615.237,562.3654,612.2932,531.089,544.9994
v1,994.2664,952.3322,982.0784,715.623,894.5002,729.1814,919.015,729.9444,937.9262,820.733,885.6202,641.4926
v2,1022.352,892.9086,977.3144,851.7098,953.154,885.6122,953.7428,788.369,888.6012,743.8328,932.9036,690.799
v3,0.0,0.0,0.0,0.0,0.0,783.3694,0.0,829.639,0.0,0.0,0.0,0.0
v4,0.0,0.0,0.0,0.0,0.0,631.9086,0.0,624.4832,0.0,0.0,0.0,0.0


