TestCase1,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,395.8358,361.5904,415.288,359.596,406.8786,378.7106,391.7832,359.0618,322.6582,316.1238,288.0614,280.302
v0,349.682,327.015,344.9296,326.4482,343.1318,296.478,312.0782,294.7504,333.6634,333.7386,265.2246,262.8342
v1,426.4552,402.078,597.7554,380.461,595.158,358.125,548.1554,358.0948,580.3312,401.7844,595.1532,361.0614
v2,611.2038,468.9584,459.0828,425.2244,475.3048,413.1278,451.1126,416.1828,582.264,418.0608,614.1836,367.499
v3,0,0,0,0,0,376.6654,0,396.9844,0,0,0,0
v4,0,0,0,0,0,316.4,0,309.8428,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
TestCase2,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,419.6712,388.3626,403.9262,400.2158,389.4422,405.1408,399.5114,403.4258,356.5286,363.463,356.145,360.279
v0,365.1726,374.6266,360.2914,354.249,354.5318,355.1686,359.0442,357.5566,368.9316,378.0568,354.9858,354.5838
v1,458.4888,407.5428,830.8494,718.151,717.675,371.9558,716.5066,371.225,715.5562,406.8156,717.5442,370.7458
v2,600.1322,483.994,489.2682,453.88,490.7254,463.7416,481.1812,470.3508,713.78,444.1528,713.5606,414.6508
v3,0,0,0,0,0,465.4024,0,410.4624,0,0,0,0
v4,0,0,0,0,0,428.8994,0,352.7202,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
TestCase3,reg,reg2,regflip,regflip2,regexp,regexp2,mem,mem2,inl,inl2,inlexp,inlexp2
ref,390.4398,374.7054,392.442,360.3098,377.4312,356.34,383.1706,362.165,346.2678,336.9238,307.261,299.6286
v0,357.444,327.8534,344.485,311.517,360.4494,295.4682,313.5576,295.7048,347.476,343.3268,268.8888,270.224
v1,427.0204,395.7312,603.473,345.0688,549.4514,344.7698,550.7536,344.7776,583.3074,381.5528,550.158,353.6026
v2,588.2612,460.388,461.8158,438.8578,476.5864,409.2686,459.5766,416.2932,583.537,418.4522,611.5028,362.0918
v3,0,0,0,0,0,377.7788,0,383.6484,0,0,0,0
v4,0,0,0,0,0,317.4114,0,313.3268,0,0,0,0
